"condition" "human_observers(average)" "AlexNet" "GoogLeNet" "VGG-16"
"1-0-10" 83.375 76.25 85 86.25
"1-10-10" 86 83.75 90.3125 87.8125
"128-0-10" 5.75 5.3125 5.3125 8.4375
"128-10-10" 7.375 10.625 8.4375 7.8125
"128-3-10" 7.25 7.8125 6.5625 6.875
"1-3-10" 87.5 80 90.9375 90.9375
"16-0-10" 14 9.6875 10 6.875
"16-10-10" 50.25 19.375 18.75 17.1875
"16-3-10" 22.5 12.1875 9.0625 6.875
"2-0-10" 81.25 71.875 84.6875 74.375
"2-10-10" 86.125 77.5 87.1875 86.25
"2-3-10" 84.375 72.8125 83.125 76.5625
"32-0-10" 7.75 8.125 6.5625 6.25
"32-10-10" 29.125 9.6875 13.4375 10.3125
"32-3-10" 12 10 8.4375 7.1875
"4-0-10" 68.5 45.9375 55.9375 48.125
"4-10-10" 83.125 71.25 77.1875 71.875
"4-3-10" 79 58.4375 70.625 64.0625
"64-0-10" 6.5 7.8125 8.75 5.9375
"64-10-10" 12 10.9375 7.5 6.5625
"64-3-10" 8.25 6.875 7.5 5.625
"8-0-10" 40.625 16.25 11.875 10.9375
"8-10-10" 75.25 44.375 41.25 29.375
"8-3-10" 59.75 25 21.5625 19.375
