subj,session,trial,rt,object_response,category,condition,imagename
alexnet,7,1,NaN,knife,knife,bw,7681_cl_dnn_bw_knife_40_n03041632_44133.JPEG
alexnet,7,2,NaN,bottle,knife,bw,7682_cl_dnn_bw_knife_40_n03041632_17091.JPEG
alexnet,7,3,NaN,dog,knife,bw,7683_cl_dnn_bw_knife_40_n03041632_22190.JPEG
alexnet,7,4,NaN,knife,knife,bw,7684_cl_dnn_bw_knife_40_n03041632_16932.JPEG
alexnet,7,5,NaN,dog,knife,bw,7685_cl_dnn_bw_knife_40_n03041632_21017.JPEG
alexnet,7,6,NaN,knife,knife,bw,7686_cl_dnn_bw_knife_40_n03041632_14883.JPEG
alexnet,7,7,NaN,knife,knife,bw,7687_cl_dnn_bw_knife_40_n03041632_29285.JPEG
alexnet,7,8,NaN,knife,knife,bw,7688_cl_dnn_bw_knife_40_n03041632_39883.JPEG
alexnet,7,9,NaN,knife,knife,bw,7689_cl_dnn_bw_knife_40_n03041632_21034.JPEG
alexnet,7,10,NaN,knife,knife,bw,7690_cl_dnn_bw_knife_40_n03041632_19971.JPEG
alexnet,7,11,NaN,knife,knife,bw,7691_cl_dnn_bw_knife_40_n03041632_51581.JPEG
alexnet,7,12,NaN,knife,knife,bw,7692_cl_dnn_bw_knife_40_n03041632_13656.JPEG
alexnet,7,13,NaN,keyboard,knife,bw,7693_cl_dnn_bw_knife_40_n03041632_28202.JPEG
alexnet,7,14,NaN,bottle,knife,bw,7694_cl_dnn_bw_knife_40_n03041632_23548.JPEG
alexnet,7,15,NaN,bottle,knife,bw,7695_cl_dnn_bw_knife_40_n03041632_11741.JPEG
alexnet,7,16,NaN,knife,knife,bw,7696_cl_dnn_bw_knife_40_n03041632_40652.JPEG
alexnet,7,17,NaN,knife,knife,bw,7697_cl_dnn_bw_knife_40_n03041632_131.JPEG
alexnet,7,18,NaN,knife,knife,bw,7698_cl_dnn_bw_knife_40_n03041632_4494.JPEG
alexnet,7,19,NaN,bottle,knife,bw,7699_cl_dnn_bw_knife_40_n03041632_42887.JPEG
alexnet,7,20,NaN,clock,knife,bw,7700_cl_dnn_bw_knife_40_n03041632_44363.JPEG
alexnet,7,21,NaN,knife,knife,bw,7701_cl_dnn_bw_knife_40_n03041632_21859.JPEG
alexnet,7,22,NaN,knife,knife,bw,7702_cl_dnn_bw_knife_40_n03041632_36277.JPEG
alexnet,7,23,NaN,knife,knife,bw,7703_cl_dnn_bw_knife_40_n03041632_32377.JPEG
alexnet,7,24,NaN,knife,knife,bw,7704_cl_dnn_bw_knife_40_n03041632_36247.JPEG
alexnet,7,25,NaN,knife,knife,bw,7705_cl_dnn_bw_knife_40_n03041632_17285.JPEG
alexnet,7,26,NaN,knife,knife,bw,7706_cl_dnn_bw_knife_40_n03041632_10777.JPEG
alexnet,7,27,NaN,knife,knife,bw,7707_cl_dnn_bw_knife_40_n03041632_19866.JPEG
alexnet,7,28,NaN,keyboard,knife,bw,7708_cl_dnn_bw_knife_40_n03041632_289.JPEG
alexnet,7,29,NaN,knife,knife,bw,7709_cl_dnn_bw_knife_40_n03041632_28009.JPEG
alexnet,7,30,NaN,knife,knife,bw,7710_cl_dnn_bw_knife_40_n03041632_21425.JPEG
alexnet,7,31,NaN,dog,knife,bw,7711_cl_dnn_bw_knife_40_n03041632_36834.JPEG
alexnet,7,32,NaN,knife,knife,bw,7712_cl_dnn_bw_knife_40_n03041632_5916.JPEG
alexnet,7,33,NaN,keyboard,knife,bw,7713_cl_dnn_bw_knife_40_n03041632_45569.JPEG
alexnet,7,34,NaN,boat,knife,bw,7714_cl_dnn_bw_knife_40_n03041632_46720.JPEG
alexnet,7,35,NaN,knife,knife,bw,7715_cl_dnn_bw_knife_40_n03041632_26933.JPEG
alexnet,7,36,NaN,knife,knife,bw,7716_cl_dnn_bw_knife_40_n03041632_24461.JPEG
alexnet,7,37,NaN,knife,knife,bw,7717_cl_dnn_bw_knife_40_n03041632_38433.JPEG
alexnet,7,38,NaN,knife,knife,bw,7718_cl_dnn_bw_knife_40_n03041632_17349.JPEG
alexnet,7,39,NaN,bottle,knife,bw,7719_cl_dnn_bw_knife_40_n03041632_50332.JPEG
alexnet,7,40,NaN,boat,knife,bw,7720_cl_dnn_bw_knife_40_n03041632_15174.JPEG
alexnet,7,41,NaN,keyboard,keyboard,bw,7721_cl_dnn_bw_keyboard_40_n03085013_24045.JPEG
alexnet,7,42,NaN,keyboard,keyboard,bw,7722_cl_dnn_bw_keyboard_40_n03085013_23672.JPEG
alexnet,7,43,NaN,keyboard,keyboard,bw,7723_cl_dnn_bw_keyboard_40_n04505470_4741.JPEG
alexnet,7,44,NaN,keyboard,keyboard,bw,7724_cl_dnn_bw_keyboard_40_n04505470_6800.JPEG
alexnet,7,45,NaN,keyboard,keyboard,bw,7725_cl_dnn_bw_keyboard_40_n04505470_5141.JPEG
alexnet,7,46,NaN,keyboard,keyboard,bw,7726_cl_dnn_bw_keyboard_40_n04505470_4356.JPEG
alexnet,7,47,NaN,keyboard,keyboard,bw,7727_cl_dnn_bw_keyboard_40_n04505470_2600.JPEG
alexnet,7,48,NaN,keyboard,keyboard,bw,7728_cl_dnn_bw_keyboard_40_n04505470_4358.JPEG
alexnet,7,49,NaN,keyboard,keyboard,bw,7729_cl_dnn_bw_keyboard_40_n03085013_679.JPEG
alexnet,7,50,NaN,keyboard,keyboard,bw,7730_cl_dnn_bw_keyboard_40_n04505470_7681.JPEG
alexnet,7,51,NaN,keyboard,keyboard,bw,7731_cl_dnn_bw_keyboard_40_n03085013_21466.JPEG
alexnet,7,52,NaN,keyboard,keyboard,bw,7732_cl_dnn_bw_keyboard_40_n03085013_14643.JPEG
alexnet,7,53,NaN,keyboard,keyboard,bw,7733_cl_dnn_bw_keyboard_40_n04505470_4363.JPEG
alexnet,7,54,NaN,keyboard,keyboard,bw,7734_cl_dnn_bw_keyboard_40_n04505470_2601.JPEG
alexnet,7,55,NaN,keyboard,keyboard,bw,7735_cl_dnn_bw_keyboard_40_n04505470_1691.JPEG
alexnet,7,56,NaN,keyboard,keyboard,bw,7736_cl_dnn_bw_keyboard_40_n03085013_22254.JPEG
alexnet,7,57,NaN,keyboard,keyboard,bw,7737_cl_dnn_bw_keyboard_40_n04505470_4246.JPEG
alexnet,7,58,NaN,keyboard,keyboard,bw,7738_cl_dnn_bw_keyboard_40_n03085013_914.JPEG
alexnet,7,59,NaN,keyboard,keyboard,bw,7739_cl_dnn_bw_keyboard_40_n03085013_4600.JPEG
alexnet,7,60,NaN,keyboard,keyboard,bw,7740_cl_dnn_bw_keyboard_40_n03085013_4156.JPEG
alexnet,7,61,NaN,keyboard,keyboard,bw,7741_cl_dnn_bw_keyboard_40_n04505470_1245.JPEG
alexnet,7,62,NaN,keyboard,keyboard,bw,7742_cl_dnn_bw_keyboard_40_n04505470_6656.JPEG
alexnet,7,63,NaN,bottle,keyboard,bw,7743_cl_dnn_bw_keyboard_40_n03085013_18672.JPEG
alexnet,7,64,NaN,keyboard,keyboard,bw,7744_cl_dnn_bw_keyboard_40_n03085013_19285.JPEG
alexnet,7,65,NaN,keyboard,keyboard,bw,7745_cl_dnn_bw_keyboard_40_n03085013_21231.JPEG
alexnet,7,66,NaN,keyboard,keyboard,bw,7746_cl_dnn_bw_keyboard_40_n04505470_276.JPEG
alexnet,7,67,NaN,keyboard,keyboard,bw,7747_cl_dnn_bw_keyboard_40_n03085013_25181.JPEG
alexnet,7,68,NaN,chair,keyboard,bw,7748_cl_dnn_bw_keyboard_40_n04505470_5726.JPEG
alexnet,7,69,NaN,keyboard,keyboard,bw,7749_cl_dnn_bw_keyboard_40_n03085013_21399.JPEG
alexnet,7,70,NaN,keyboard,keyboard,bw,7750_cl_dnn_bw_keyboard_40_n04505470_4294.JPEG
alexnet,7,71,NaN,keyboard,keyboard,bw,7751_cl_dnn_bw_keyboard_40_n04505470_1787.JPEG
alexnet,7,72,NaN,keyboard,keyboard,bw,7752_cl_dnn_bw_keyboard_40_n03085013_26171.JPEG
alexnet,7,73,NaN,keyboard,keyboard,bw,7753_cl_dnn_bw_keyboard_40_n03085013_3733.JPEG
alexnet,7,74,NaN,keyboard,keyboard,bw,7754_cl_dnn_bw_keyboard_40_n04505470_6272.JPEG
alexnet,7,75,NaN,keyboard,keyboard,bw,7755_cl_dnn_bw_keyboard_40_n03085013_15530.JPEG
alexnet,7,76,NaN,keyboard,keyboard,bw,7756_cl_dnn_bw_keyboard_40_n04505470_5112.JPEG
alexnet,7,77,NaN,keyboard,keyboard,bw,7757_cl_dnn_bw_keyboard_40_n04505470_9788.JPEG
alexnet,7,78,NaN,keyboard,keyboard,bw,7758_cl_dnn_bw_keyboard_40_n03085013_3920.JPEG
alexnet,7,79,NaN,keyboard,keyboard,bw,7759_cl_dnn_bw_keyboard_40_n04505470_470.JPEG
alexnet,7,80,NaN,keyboard,keyboard,bw,7760_cl_dnn_bw_keyboard_40_n03085013_19601.JPEG
alexnet,7,81,NaN,elephant,elephant,bw,7761_cl_dnn_bw_elephant_40_n02504458_9835.JPEG
