subj,session,trial,rt,object_response,category,condition,imagename
vgg,2,1,NaN,chair,knife,bw,1281_cl_dnn_bw_knife_40_n03041632_18766.JPEG
vgg,2,2,NaN,knife,knife,bw,1282_cl_dnn_bw_knife_40_n03041632_94620.JPEG
vgg,2,3,NaN,knife,knife,bw,1283_cl_dnn_bw_knife_40_n03041632_16020.JPEG
vgg,2,4,NaN,knife,knife,bw,1284_cl_dnn_bw_knife_40_n03041632_14224.JPEG
vgg,2,5,NaN,knife,knife,bw,1285_cl_dnn_bw_knife_40_n03041632_8618.JPEG
vgg,2,6,NaN,knife,knife,bw,1286_cl_dnn_bw_knife_40_n03041632_92063.JPEG
vgg,2,7,NaN,knife,knife,bw,1287_cl_dnn_bw_knife_40_n03041632_10796.JPEG
vgg,2,8,NaN,knife,knife,bw,1288_cl_dnn_bw_knife_40_n03041632_40887.JPEG
vgg,2,9,NaN,knife,knife,bw,1289_cl_dnn_bw_knife_40_n03041632_18995.JPEG
vgg,2,10,NaN,knife,knife,bw,1290_cl_dnn_bw_knife_40_n03041632_10136.JPEG
vgg,2,11,NaN,knife,knife,bw,1291_cl_dnn_bw_knife_40_n03041632_10802.JPEG
vgg,2,12,NaN,keyboard,knife,bw,1292_cl_dnn_bw_knife_40_n03041632_36215.JPEG
vgg,2,13,NaN,knife,knife,bw,1293_cl_dnn_bw_knife_40_n03041632_21723.JPEG
vgg,2,14,NaN,knife,knife,bw,1294_cl_dnn_bw_knife_40_n03041632_91582.JPEG
vgg,2,15,NaN,knife,knife,bw,1295_cl_dnn_bw_knife_40_n03041632_35260.JPEG
vgg,2,16,NaN,knife,knife,bw,1296_cl_dnn_bw_knife_40_n03041632_20504.JPEG
vgg,2,17,NaN,knife,knife,bw,1297_cl_dnn_bw_knife_40_n03041632_1143.JPEG
vgg,2,18,NaN,knife,knife,bw,1298_cl_dnn_bw_knife_40_n03041632_8666.JPEG
vgg,2,19,NaN,knife,knife,bw,1299_cl_dnn_bw_knife_40_n03041632_22964.JPEG
vgg,2,20,NaN,knife,knife,bw,1300_cl_dnn_bw_knife_40_n03041632_19614.JPEG
vgg,2,21,NaN,knife,knife,bw,1301_cl_dnn_bw_knife_40_n03041632_11603.JPEG
vgg,2,22,NaN,knife,knife,bw,1302_cl_dnn_bw_knife_40_n03041632_21472.JPEG
vgg,2,23,NaN,knife,knife,bw,1303_cl_dnn_bw_knife_40_n03041632_4714.JPEG
vgg,2,24,NaN,knife,knife,bw,1304_cl_dnn_bw_knife_40_n03041632_37274.JPEG
vgg,2,25,NaN,knife,knife,bw,1305_cl_dnn_bw_knife_40_n03041632_4975.JPEG
vgg,2,26,NaN,knife,knife,bw,1306_cl_dnn_bw_knife_40_n03041632_29886.JPEG
vgg,2,27,NaN,knife,knife,bw,1307_cl_dnn_bw_knife_40_n03041632_50648.JPEG
vgg,2,28,NaN,knife,knife,bw,1308_cl_dnn_bw_knife_40_n03041632_99460.JPEG
vgg,2,29,NaN,knife,knife,bw,1309_cl_dnn_bw_knife_40_n03041632_9488.JPEG
vgg,2,30,NaN,chair,knife,bw,1310_cl_dnn_bw_knife_40_n03041632_7707.JPEG
vgg,2,31,NaN,bicycle,knife,bw,1311_cl_dnn_bw_knife_40_n03041632_27709.JPEG
vgg,2,32,NaN,knife,knife,bw,1312_cl_dnn_bw_knife_40_n03041632_15444.JPEG
vgg,2,33,NaN,bottle,knife,bw,1313_cl_dnn_bw_knife_40_n03041632_13518.JPEG
vgg,2,34,NaN,knife,knife,bw,1314_cl_dnn_bw_knife_40_n03041632_47743.JPEG
vgg,2,35,NaN,knife,knife,bw,1315_cl_dnn_bw_knife_40_n03041632_31301.JPEG
vgg,2,36,NaN,knife,knife,bw,1316_cl_dnn_bw_knife_40_n03041632_3516.JPEG
vgg,2,37,NaN,knife,knife,bw,1317_cl_dnn_bw_knife_40_n03041632_32774.JPEG
vgg,2,38,NaN,chair,knife,bw,1318_cl_dnn_bw_knife_40_n03041632_18126.JPEG
vgg,2,39,NaN,knife,knife,bw,1319_cl_dnn_bw_knife_40_n03041632_11773.JPEG
vgg,2,40,NaN,knife,knife,bw,1320_cl_dnn_bw_knife_40_n03041632_20413.JPEG
vgg,2,41,NaN,keyboard,keyboard,bw,1321_cl_dnn_bw_keyboard_40_n03085013_22744.JPEG
vgg,2,42,NaN,keyboard,keyboard,bw,1322_cl_dnn_bw_keyboard_40_n04505470_3122.JPEG
vgg,2,43,NaN,keyboard,keyboard,bw,1323_cl_dnn_bw_keyboard_40_n04505470_1464.JPEG
vgg,2,44,NaN,chair,keyboard,bw,1324_cl_dnn_bw_keyboard_40_n04505470_494.JPEG
vgg,2,45,NaN,keyboard,keyboard,bw,1325_cl_dnn_bw_keyboard_40_n04505470_1067.JPEG
vgg,2,46,NaN,keyboard,keyboard,bw,1326_cl_dnn_bw_keyboard_40_n04505470_6662.JPEG
vgg,2,47,NaN,keyboard,keyboard,bw,1327_cl_dnn_bw_keyboard_40_n04505470_10722.JPEG
vgg,2,48,NaN,keyboard,keyboard,bw,1328_cl_dnn_bw_keyboard_40_n04505470_8148.JPEG
vgg,2,49,NaN,keyboard,keyboard,bw,1329_cl_dnn_bw_keyboard_40_n04505470_10337.JPEG
vgg,2,50,NaN,keyboard,keyboard,bw,1330_cl_dnn_bw_keyboard_40_n03085013_2255.JPEG
vgg,2,51,NaN,keyboard,keyboard,bw,1331_cl_dnn_bw_keyboard_40_n03085013_5714.JPEG
vgg,2,52,NaN,keyboard,keyboard,bw,1332_cl_dnn_bw_keyboard_40_n04505470_4628.JPEG
vgg,2,53,NaN,keyboard,keyboard,bw,1333_cl_dnn_bw_keyboard_40_n03085013_19436.JPEG
vgg,2,54,NaN,keyboard,keyboard,bw,1334_cl_dnn_bw_keyboard_40_n04505470_1794.JPEG
vgg,2,55,NaN,keyboard,keyboard,bw,1335_cl_dnn_bw_keyboard_40_n03085013_22719.JPEG
vgg,2,56,NaN,keyboard,keyboard,bw,1336_cl_dnn_bw_keyboard_40_n03085013_5726.JPEG
vgg,2,57,NaN,keyboard,keyboard,bw,1337_cl_dnn_bw_keyboard_40_n04505470_4273.JPEG
vgg,2,58,NaN,keyboard,keyboard,bw,1338_cl_dnn_bw_keyboard_40_n03085013_29865.JPEG
vgg,2,59,NaN,keyboard,keyboard,bw,1339_cl_dnn_bw_keyboard_40_n04505470_4951.JPEG
vgg,2,60,NaN,keyboard,keyboard,bw,1340_cl_dnn_bw_keyboard_40_n04505470_4828.JPEG
vgg,2,61,NaN,keyboard,keyboard,bw,1341_cl_dnn_bw_keyboard_40_n04505470_186.JPEG
vgg,2,62,NaN,keyboard,keyboard,bw,1342_cl_dnn_bw_keyboard_40_n03085013_17305.JPEG
vgg,2,63,NaN,keyboard,keyboard,bw,1343_cl_dnn_bw_keyboard_40_n03085013_11682.JPEG
vgg,2,64,NaN,keyboard,keyboard,bw,1344_cl_dnn_bw_keyboard_40_n04505470_4724.JPEG
vgg,2,65,NaN,keyboard,keyboard,bw,1345_cl_dnn_bw_keyboard_40_n04505470_2421.JPEG
vgg,2,66,NaN,keyboard,keyboard,bw,1346_cl_dnn_bw_keyboard_40_n03085013_18746.JPEG
vgg,2,67,NaN,keyboard,keyboard,bw,1347_cl_dnn_bw_keyboard_40_n03085013_20186.JPEG
vgg,2,68,NaN,keyboard,keyboard,bw,1348_cl_dnn_bw_keyboard_40_n03085013_22759.JPEG
vgg,2,69,NaN,keyboard,keyboard,bw,1349_cl_dnn_bw_keyboard_40_n03085013_23596.JPEG
vgg,2,70,NaN,keyboard,keyboard,bw,1350_cl_dnn_bw_keyboard_40_n03085013_20843.JPEG
vgg,2,71,NaN,keyboard,keyboard,bw,1351_cl_dnn_bw_keyboard_40_n04505470_4348.JPEG
vgg,2,72,NaN,keyboard,keyboard,bw,1352_cl_dnn_bw_keyboard_40_n03085013_19197.JPEG
vgg,2,73,NaN,keyboard,keyboard,bw,1353_cl_dnn_bw_keyboard_40_n04505470_589.JPEG
vgg,2,74,NaN,keyboard,keyboard,bw,1354_cl_dnn_bw_keyboard_40_n03085013_919.JPEG
vgg,2,75,NaN,keyboard,keyboard,bw,1355_cl_dnn_bw_keyboard_40_n03085013_20553.JPEG
vgg,2,76,NaN,keyboard,keyboard,bw,1356_cl_dnn_bw_keyboard_40_n04505470_3335.JPEG
vgg,2,77,NaN,keyboard,keyboard,bw,1357_cl_dnn_bw_keyboard_40_n03085013_4636.JPEG
vgg,2,78,NaN,keyboard,keyboard,bw,1358_cl_dnn_bw_keyboard_40_n03085013_5738.JPEG
vgg,2,79,NaN,keyboard,keyboard,bw,1359_cl_dnn_bw_keyboard_40_n03085013_24144.JPEG
vgg,2,80,NaN,keyboard,keyboard,bw,1360_cl_dnn_bw_keyboard_40_n04505470_250.JPEG
vgg,2,81,NaN,dog,elephant,bw,1361_cl_dnn_bw_elephant_40_n02504458_8015.JPEG
vgg,2,82,NaN,elephant,elephant,bw,1362_cl_dnn_bw_elephant_40_n02504013_9614.JPEG
vgg,2,83,NaN,elephant,elephant,bw,1363_cl_dnn_bw_elephant_40_n02504013_3418.JPEG
vgg,2,84,NaN,dog,elephant,bw,1364_cl_dnn_bw_elephant_40_n02504013_1669.JPEG
vgg,2,85,NaN,elephant,elephant,bw,1365_cl_dnn_bw_elephant_40_n02504458_710.JPEG
vgg,2,86,NaN,elephant,elephant,bw,1366_cl_dnn_bw_elephant_40_n02504458_4819.JPEG
vgg,2,87,NaN,elephant,elephant,bw,1367_cl_dnn_bw_elephant_40_n02504013_5216.JPEG
vgg,2,88,NaN,elephant,elephant,bw,1368_cl_dnn_bw_elephant_40_n02504458_6749.JPEG
vgg,2,89,NaN,elephant,elephant,bw,1369_cl_dnn_bw_elephant_40_n02504458_6202.JPEG
vgg,2,90,NaN,elephant,elephant,bw,1370_cl_dnn_bw_elephant_40_n02504458_4864.JPEG
vgg,2,91,NaN,elephant,elephant,bw,1371_cl_dnn_bw_elephant_40_n02504013_2033.JPEG
vgg,2,92,NaN,elephant,elephant,bw,1372_cl_dnn_bw_elephant_40_n02504458_5444.JPEG
vgg,2,93,NaN,elephant,elephant,bw,1373_cl_dnn_bw_elephant_40_n02504013_459.JPEG
vgg,2,94,NaN,bird,elephant,bw,1374_cl_dnn_bw_elephant_40_n02504458_3777.JPEG
vgg,2,95,NaN,elephant,elephant,bw,1375_cl_dnn_bw_elephant_40_n02504458_7977.JPEG
vgg,2,96,NaN,elephant,elephant,bw,1376_cl_dnn_bw_elephant_40_n02504458_4187.JPEG
vgg,2,97,NaN,elephant,elephant,bw,1377_cl_dnn_bw_elephant_40_n02504458_5539.JPEG
vgg,2,98,NaN,elephant,elephant,bw,1378_cl_dnn_bw_elephant_40_n02504458_592.JPEG
vgg,2,99,NaN,elephant,elephant,bw,1379_cl_dnn_bw_elephant_40_n02504013_7753.JPEG
vgg,2,100,NaN,elephant,elephant,bw,1380_cl_dnn_bw_elephant_40_n02504013_1502.JPEG
