subj,session,trial,rt,object_response,category,condition,imagename
alexnet,4,1,NaN,knife,knife,c100,3841_con_dnn_c100_knife_10_n03041632_33739.JPEG
alexnet,4,2,NaN,knife,knife,c100,3842_con_dnn_c100_knife_10_n03041632_29580.JPEG
alexnet,4,3,NaN,knife,knife,c100,3843_con_dnn_c100_knife_10_n03041632_56172.JPEG
alexnet,4,4,NaN,knife,knife,c100,3844_con_dnn_c100_knife_10_n03041632_51766.JPEG
alexnet,4,5,NaN,bottle,knife,c100,3845_con_dnn_c100_knife_10_n03041632_48149.JPEG
alexnet,4,6,NaN,knife,knife,c100,3846_con_dnn_c100_knife_10_n03041632_29343.JPEG
alexnet,4,7,NaN,knife,knife,c100,3847_con_dnn_c100_knife_10_n03041632_20770.JPEG
alexnet,4,8,NaN,knife,knife,c100,3848_con_dnn_c100_knife_10_n03041632_11969.JPEG
alexnet,4,9,NaN,bottle,knife,c100,3849_con_dnn_c100_knife_10_n03041632_36806.JPEG
alexnet,4,10,NaN,keyboard,knife,c100,3850_con_dnn_c100_knife_10_n03041632_751.JPEG
alexnet,4,11,NaN,keyboard,keyboard,c100,3851_con_dnn_c100_keyboard_10_n04505470_3022.JPEG
alexnet,4,12,NaN,keyboard,keyboard,c100,3852_con_dnn_c100_keyboard_10_n04505470_2048.JPEG
alexnet,4,13,NaN,keyboard,keyboard,c100,3853_con_dnn_c100_keyboard_10_n03085013_31513.JPEG
alexnet,4,14,NaN,keyboard,keyboard,c100,3854_con_dnn_c100_keyboard_10_n04505470_5058.JPEG
alexnet,4,15,NaN,keyboard,keyboard,c100,3855_con_dnn_c100_keyboard_10_n04505470_5157.JPEG
alexnet,4,16,NaN,keyboard,keyboard,c100,3856_con_dnn_c100_keyboard_10_n04505470_4681.JPEG
alexnet,4,17,NaN,keyboard,keyboard,c100,3857_con_dnn_c100_keyboard_10_n04505470_1649.JPEG
alexnet,4,18,NaN,keyboard,keyboard,c100,3858_con_dnn_c100_keyboard_10_n03085013_15995.JPEG
alexnet,4,19,NaN,keyboard,keyboard,c100,3859_con_dnn_c100_keyboard_10_n04505470_1338.JPEG
alexnet,4,20,NaN,keyboard,keyboard,c100,3860_con_dnn_c100_keyboard_10_n03085013_18861.JPEG
alexnet,4,21,NaN,elephant,elephant,c100,3861_con_dnn_c100_elephant_10_n02504013_6572.JPEG
alexnet,4,22,NaN,elephant,elephant,c100,3862_con_dnn_c100_elephant_10_n02504013_1810.JPEG
alexnet,4,23,NaN,elephant,elephant,c100,3863_con_dnn_c100_elephant_10_n02504013_9178.JPEG
alexnet,4,24,NaN,elephant,elephant,c100,3864_con_dnn_c100_elephant_10_n02504458_6199.JPEG
alexnet,4,25,NaN,bear,elephant,c100,3865_con_dnn_c100_elephant_10_n02504458_1140.JPEG
alexnet,4,26,NaN,elephant,elephant,c100,3866_con_dnn_c100_elephant_10_n02504013_5963.JPEG
alexnet,4,27,NaN,elephant,elephant,c100,3867_con_dnn_c100_elephant_10_n02504013_308.JPEG
alexnet,4,28,NaN,elephant,elephant,c100,3868_con_dnn_c100_elephant_10_n02504013_2559.JPEG
alexnet,4,29,NaN,elephant,elephant,c100,3869_con_dnn_c100_elephant_10_n02504458_379.JPEG
alexnet,4,30,NaN,elephant,elephant,c100,3870_con_dnn_c100_elephant_10_n02504458_3953.JPEG
alexnet,4,31,NaN,bicycle,bicycle,c100,3871_con_dnn_c100_bicycle_10_n03792782_63173.JPEG
alexnet,4,32,NaN,bicycle,bicycle,c100,3872_con_dnn_c100_bicycle_10_n02835271_1031.JPEG
alexnet,4,33,NaN,bicycle,bicycle,c100,3873_con_dnn_c100_bicycle_10_n02835271_12039.JPEG
alexnet,4,34,NaN,chair,bicycle,c100,3874_con_dnn_c100_bicycle_10_n03792782_2598.JPEG
alexnet,4,35,NaN,bicycle,bicycle,c100,3875_con_dnn_c100_bicycle_10_n03792782_12273.JPEG
alexnet,4,36,NaN,bicycle,bicycle,c100,3876_con_dnn_c100_bicycle_10_n02835271_9297.JPEG
alexnet,4,37,NaN,bicycle,bicycle,c100,3877_con_dnn_c100_bicycle_10_n02835271_6157.JPEG
alexnet,4,38,NaN,bicycle,bicycle,c100,3878_con_dnn_c100_bicycle_10_n02835271_11922.JPEG
alexnet,4,39,NaN,bicycle,bicycle,c100,3879_con_dnn_c100_bicycle_10_n03792782_21378.JPEG
alexnet,4,40,NaN,bicycle,bicycle,c100,3880_con_dnn_c100_bicycle_10_n03792782_76091.JPEG
alexnet,4,41,NaN,airplane,airplane,c100,3881_con_dnn_c100_airplane_10_n02690373_18848.JPEG
alexnet,4,42,NaN,airplane,airplane,c100,3882_con_dnn_c100_airplane_10_n02690373_2109.JPEG
alexnet,4,43,NaN,airplane,airplane,c100,3883_con_dnn_c100_airplane_10_n02690373_3696.JPEG
alexnet,4,44,NaN,airplane,airplane,c100,3884_con_dnn_c100_airplane_10_n02690373_18295.JPEG
alexnet,4,45,NaN,airplane,airplane,c100,3885_con_dnn_c100_airplane_10_n02690373_18412.JPEG
alexnet,4,46,NaN,airplane,airplane,c100,3886_con_dnn_c100_airplane_10_n02690373_7072.JPEG
