subj,session,trial,rt,object_response,category,condition,imagename
vgg,7,1,NaN,knife,knife,c100,7681_con_dnn_c100_knife_10_n03041632_4879.JPEG
vgg,7,2,NaN,knife,knife,c100,7682_con_dnn_c100_knife_10_n03041632_47410.JPEG
vgg,7,3,NaN,knife,knife,c100,7683_con_dnn_c100_knife_10_n03041632_2184.JPEG
vgg,7,4,NaN,knife,knife,c100,7684_con_dnn_c100_knife_10_n03041632_2630.JPEG
vgg,7,5,NaN,knife,knife,c100,7685_con_dnn_c100_knife_10_n03041632_41381.JPEG
vgg,7,6,NaN,knife,knife,c100,7686_con_dnn_c100_knife_10_n03041632_7279.JPEG
vgg,7,7,NaN,knife,knife,c100,7687_con_dnn_c100_knife_10_n03041632_4808.JPEG
vgg,7,8,NaN,knife,knife,c100,7688_con_dnn_c100_knife_10_n03041632_20433.JPEG
vgg,7,9,NaN,knife,knife,c100,7689_con_dnn_c100_knife_10_n03041632_21590.JPEG
vgg,7,10,NaN,knife,knife,c100,7690_con_dnn_c100_knife_10_n03041632_38535.JPEG
vgg,7,11,NaN,keyboard,keyboard,c100,7691_con_dnn_c100_keyboard_10_n04505470_6426.JPEG
vgg,7,12,NaN,keyboard,keyboard,c100,7692_con_dnn_c100_keyboard_10_n04505470_10558.JPEG
vgg,7,13,NaN,keyboard,keyboard,c100,7693_con_dnn_c100_keyboard_10_n04505470_3286.JPEG
vgg,7,14,NaN,keyboard,keyboard,c100,7694_con_dnn_c100_keyboard_10_n03085013_18621.JPEG
vgg,7,15,NaN,keyboard,keyboard,c100,7695_con_dnn_c100_keyboard_10_n04505470_4507.JPEG
vgg,7,16,NaN,keyboard,keyboard,c100,7696_con_dnn_c100_keyboard_10_n04505470_4944.JPEG
vgg,7,17,NaN,keyboard,keyboard,c100,7697_con_dnn_c100_keyboard_10_n03085013_23843.JPEG
vgg,7,18,NaN,keyboard,keyboard,c100,7698_con_dnn_c100_keyboard_10_n04505470_2608.JPEG
vgg,7,19,NaN,keyboard,keyboard,c100,7699_con_dnn_c100_keyboard_10_n03085013_25443.JPEG
vgg,7,20,NaN,keyboard,keyboard,c100,7700_con_dnn_c100_keyboard_10_n03085013_18979.JPEG
vgg,7,21,NaN,dog,elephant,c100,7701_con_dnn_c100_elephant_10_n02504458_3066.JPEG
vgg,7,22,NaN,elephant,elephant,c100,7702_con_dnn_c100_elephant_10_n02504458_6130.JPEG
vgg,7,23,NaN,elephant,elephant,c100,7703_con_dnn_c100_elephant_10_n02504013_6034.JPEG
vgg,7,24,NaN,elephant,elephant,c100,7704_con_dnn_c100_elephant_10_n02504013_817.JPEG
vgg,7,25,NaN,elephant,elephant,c100,7705_con_dnn_c100_elephant_10_n02504013_6121.JPEG
vgg,7,26,NaN,elephant,elephant,c100,7706_con_dnn_c100_elephant_10_n02504013_10390.JPEG
vgg,7,27,NaN,elephant,elephant,c100,7707_con_dnn_c100_elephant_10_n02504013_242.JPEG
vgg,7,28,NaN,elephant,elephant,c100,7708_con_dnn_c100_elephant_10_n02504013_2924.JPEG
vgg,7,29,NaN,elephant,elephant,c100,7709_con_dnn_c100_elephant_10_n02504458_2494.JPEG
vgg,7,30,NaN,elephant,elephant,c100,7710_con_dnn_c100_elephant_10_n02504013_1844.JPEG
vgg,7,31,NaN,bicycle,bicycle,c100,7711_con_dnn_c100_bicycle_10_n02835271_8617.JPEG
vgg,7,32,NaN,bicycle,bicycle,c100,7712_con_dnn_c100_bicycle_10_n02835271_14820.JPEG
vgg,7,33,NaN,bicycle,bicycle,c100,7713_con_dnn_c100_bicycle_10_n02835271_14228.JPEG
vgg,7,34,NaN,bicycle,bicycle,c100,7714_con_dnn_c100_bicycle_10_n02835271_8109.JPEG
vgg,7,35,NaN,bicycle,bicycle,c100,7715_con_dnn_c100_bicycle_10_n03792782_50904.JPEG
vgg,7,36,NaN,bicycle,bicycle,c100,7716_con_dnn_c100_bicycle_10_n03792782_42345.JPEG
vgg,7,37,NaN,bicycle,bicycle,c100,7717_con_dnn_c100_bicycle_10_n03792782_4659.JPEG
vgg,7,38,NaN,bicycle,bicycle,c100,7718_con_dnn_c100_bicycle_10_n02835271_6804.JPEG
vgg,7,39,NaN,bicycle,bicycle,c100,7719_con_dnn_c100_bicycle_10_n02835271_3529.JPEG
vgg,7,40,NaN,bicycle,bicycle,c100,7720_con_dnn_c100_bicycle_10_n03792782_59022.JPEG
vgg,7,41,NaN,airplane,airplane,c100,7721_con_dnn_c100_airplane_10_n02690373_5724.JPEG
vgg,7,42,NaN,airplane,airplane,c100,7722_con_dnn_c100_airplane_10_n02690373_2675.JPEG
vgg,7,43,NaN,airplane,airplane,c100,7723_con_dnn_c100_airplane_10_n02690373_2447.JPEG
vgg,7,44,NaN,airplane,airplane,c100,7724_con_dnn_c100_airplane_10_n02690373_3753.JPEG
vgg,7,45,NaN,airplane,airplane,c100,7725_con_dnn_c100_airplane_10_n02690373_3899.JPEG
vgg,7,46,NaN,airplane,airplane,c100,7726_con_dnn_c100_airplane_10_n02690373_6834.JPEG
vgg,7,47,NaN,airplane,airplane,c100,7727_con_dnn_c100_airplane_10_n02690373_7229.JPEG
vgg,7,48,NaN,airplane,airplane,c100,7728_con_dnn_c100_airplane_10_n02690373_3709.JPEG
vgg,7,49,NaN,airplane,airplane,c100,7729_con_dnn_c100_airplane_10_n02690373_9175.JPEG
vgg,7,50,NaN,airplane,airplane,c100,7730_con_dnn_c100_airplane_10_n02690373_3639.JPEG
vgg,7,51,NaN,clock,clock,c100,7731_con_dnn_c100_clock_10_n02708093_6672.JPEG
vgg,7,52,NaN,clock,clock,c100,7732_con_dnn_c100_clock_10_n04548280_43.JPEG
vgg,7,53,NaN,clock,clock,c100,7733_con_dnn_c100_clock_10_n04548280_3854.JPEG
vgg,7,54,NaN,clock,clock,c100,7734_con_dnn_c100_clock_10_n04548280_5337.JPEG
vgg,7,55,NaN,clock,clock,c100,7735_con_dnn_c100_clock_10_n04548280_3161.JPEG
vgg,7,56,NaN,clock,clock,c100,7736_con_dnn_c100_clock_10_n02708093_145.JPEG
vgg,7,57,NaN,clock,clock,c100,7737_con_dnn_c100_clock_10_n03196217_1790.JPEG
vgg,7,58,NaN,clock,clock,c100,7738_con_dnn_c100_clock_10_n03196217_1255.JPEG
vgg,7,59,NaN,clock,clock,c100,7739_con_dnn_c100_clock_10_n03196217_775.JPEG
vgg,7,60,NaN,clock,clock,c100,7740_con_dnn_c100_clock_10_n04548280_3153.JPEG
vgg,7,61,NaN,oven,oven,c100,7741_con_dnn_c100_oven_10_n04111531_6120.JPEG
vgg,7,62,NaN,oven,oven,c100,7742_con_dnn_c100_oven_10_n04111531_2116.JPEG
vgg,7,63,NaN,oven,oven,c100,7743_con_dnn_c100_oven_10_n04111531_17006.JPEG
vgg,7,64,NaN,oven,oven,c100,7744_con_dnn_c100_oven_10_n04111531_6590.JPEG
vgg,7,65,NaN,chair,oven,c100,7745_con_dnn_c100_oven_10_n04111531_5578.JPEG
vgg,7,66,NaN,oven,oven,c100,7746_con_dnn_c100_oven_10_n04111531_2771.JPEG
vgg,7,67,NaN,oven,oven,c100,7747_con_dnn_c100_oven_10_n04111531_9429.JPEG
vgg,7,68,NaN,oven,oven,c100,7748_con_dnn_c100_oven_10_n04111531_1826.JPEG
vgg,7,69,NaN,oven,oven,c100,7749_con_dnn_c100_oven_10_n04111531_3193.JPEG
vgg,7,70,NaN,oven,oven,c100,7750_con_dnn_c100_oven_10_n04111531_6489.JPEG
vgg,7,71,NaN,chair,chair,c100,7751_con_dnn_c100_chair_10_n02791124_4780.JPEG
vgg,7,72,NaN,chair,chair,c100,7752_con_dnn_c100_chair_10_n03376595_13578.JPEG
vgg,7,73,NaN,chair,chair,c100,7753_con_dnn_c100_chair_10_n04099969_1829.JPEG
vgg,7,74,NaN,chair,chair,c100,7754_con_dnn_c100_chair_10_n02791124_499.JPEG
vgg,7,75,NaN,chair,chair,c100,7755_con_dnn_c100_chair_10_n02791124_5201.JPEG
vgg,7,76,NaN,chair,chair,c100,7756_con_dnn_c100_chair_10_n03376595_9093.JPEG
vgg,7,77,NaN,chair,chair,c100,7757_con_dnn_c100_chair_10_n02791124_992.JPEG
vgg,7,78,NaN,chair,chair,c100,7758_con_dnn_c100_chair_10_n04099969_40892.JPEG
vgg,7,79,NaN,chair,chair,c100,7759_con_dnn_c100_chair_10_n04429376_6480.JPEG
vgg,7,80,NaN,chair,chair,c100,7760_con_dnn_c100_chair_10_n03376595_9226.JPEG
vgg,7,81,NaN,bear,bear,c100,7761_con_dnn_c100_bear_10_n02132136_18743.JPEG
vgg,7,82,NaN,bear,bear,c100,7762_con_dnn_c100_bear_10_n02134084_4726.JPEG
vgg,7,83,NaN,bear,bear,c100,7763_con_dnn_c100_bear_10_n02132136_10684.JPEG
vgg,7,84,NaN,bear,bear,c100,7764_con_dnn_c100_bear_10_n02134084_1536.JPEG
vgg,7,85,NaN,bear,bear,c100,7765_con_dnn_c100_bear_10_n02134418_2495.JPEG
vgg,7,86,NaN,bear,bear,c100,7766_con_dnn_c100_bear_10_n02134418_5139.JPEG
vgg,7,87,NaN,bear,bear,c100,7767_con_dnn_c100_bear_10_n02132136_10769.JPEG
vgg,7,88,NaN,bear,bear,c100,7768_con_dnn_c100_bear_10_n02133161_10715.JPEG
vgg,7,89,NaN,bear,bear,c100,7769_con_dnn_c100_bear_10_n02132136_24204.JPEG
vgg,7,90,NaN,bear,bear,c100,7770_con_dnn_c100_bear_10_n02134418_4559.JPEG
vgg,7,91,NaN,boat,boat,c100,7771_con_dnn_c100_boat_10_n03344393_2919.JPEG
vgg,7,92,NaN,boat,boat,c100,7772_con_dnn_c100_boat_10_n03344393_6324.JPEG
vgg,7,93,NaN,boat,boat,c100,7773_con_dnn_c100_boat_10_n03344393_5588.JPEG
vgg,7,94,NaN,boat,boat,c100,7774_con_dnn_c100_boat_10_n02951358_4189.JPEG
vgg,7,95,NaN,boat,boat,c100,7775_con_dnn_c100_boat_10_n03344393_8504.JPEG
vgg,7,96,NaN,boat,boat,c100,7776_con_dnn_c100_boat_10_n02951358_31518.JPEG
vgg,7,97,NaN,boat,boat,c100,7777_con_dnn_c100_boat_10_n03344393_6950.JPEG
vgg,7,98,NaN,boat,boat,c100,7778_con_dnn_c100_boat_10_n04273569_14506.JPEG
vgg,7,99,NaN,boat,boat,c100,7779_con_dnn_c100_boat_10_n04273569_29319.JPEG
vgg,7,100,NaN,boat,boat,c100,7780_con_dnn_c100_boat_10_n04273569_3130.JPEG
vgg,7,101,NaN,cat,cat,c100,7781_con_dnn_c100_cat_10_n02123394_2167.JPEG
vgg,7,102,NaN,cat,cat,c100,7782_con_dnn_c100_cat_10_n02123597_9893.JPEG
vgg,7,103,NaN,cat,cat,c100,7783_con_dnn_c100_cat_10_n02123045_9404.JPEG
vgg,7,104,NaN,cat,cat,c100,7784_con_dnn_c100_cat_10_n02125311_13098.JPEG
vgg,7,105,NaN,cat,cat,c100,7785_con_dnn_c100_cat_10_n02123394_287.JPEG
vgg,7,106,NaN,cat,cat,c100,7786_con_dnn_c100_cat_10_n02123597_1708.JPEG
vgg,7,107,NaN,cat,cat,c100,7787_con_dnn_c100_cat_10_n02123159_2465.JPEG
vgg,7,108,NaN,cat,cat,c100,7788_con_dnn_c100_cat_10_n02123159_5960.JPEG
vgg,7,109,NaN,cat,cat,c100,7789_con_dnn_c100_cat_10_n02124075_2854.JPEG
vgg,7,110,NaN,cat,cat,c100,7790_con_dnn_c100_cat_10_n02123159_7967.JPEG
vgg,7,111,NaN,bottle,bottle,c100,7791_con_dnn_c100_bottle_10_n04560804_13773.JPEG
vgg,7,112,NaN,bottle,bottle,c100,7792_con_dnn_c100_bottle_10_n02823428_7357.JPEG
vgg,7,113,NaN,bottle,bottle,c100,7793_con_dnn_c100_bottle_10_n03983396_4713.JPEG
vgg,7,114,NaN,bottle,bottle,c100,7794_con_dnn_c100_bottle_10_n04560804_27690.JPEG
vgg,7,115,NaN,bottle,bottle,c100,7795_con_dnn_c100_bottle_10_n04591713_7835.JPEG
vgg,7,116,NaN,keyboard,bottle,c100,7796_con_dnn_c100_bottle_10_n03937543_4386.JPEG
vgg,7,117,NaN,bottle,bottle,c100,7797_con_dnn_c100_bottle_10_n03937543_3094.JPEG
vgg,7,118,NaN,bottle,bottle,c100,7798_con_dnn_c100_bottle_10_n02823428_14980.JPEG
vgg,7,119,NaN,bottle,bottle,c100,7799_con_dnn_c100_bottle_10_n03983396_2760.JPEG
vgg,7,120,NaN,bottle,bottle,c100,7800_con_dnn_c100_bottle_10_n04557648_9408.JPEG
vgg,7,121,NaN,truck,truck,c100,7801_con_dnn_c100_truck_10_n04467665_707.JPEG
vgg,7,122,NaN,truck,truck,c100,7802_con_dnn_c100_truck_10_n04467665_28313.JPEG
vgg,7,123,NaN,truck,truck,c100,7803_con_dnn_c100_truck_10_n04467665_67081.JPEG
vgg,7,124,NaN,truck,truck,c100,7804_con_dnn_c100_truck_10_n03796401_5669.JPEG
vgg,7,125,NaN,truck,truck,c100,7805_con_dnn_c100_truck_10_n03796401_6596.JPEG
vgg,7,126,NaN,truck,truck,c100,7806_con_dnn_c100_truck_10_n03417042_5905.JPEG
vgg,7,127,NaN,truck,truck,c100,7807_con_dnn_c100_truck_10_n03417042_10520.JPEG
vgg,7,128,NaN,truck,truck,c100,7808_con_dnn_c100_truck_10_n04467665_47560.JPEG
vgg,7,129,NaN,truck,truck,c100,7809_con_dnn_c100_truck_10_n03796401_5.JPEG
vgg,7,130,NaN,truck,truck,c100,7810_con_dnn_c100_truck_10_n03796401_2457.JPEG
vgg,7,131,NaN,car,car,c100,7811_con_dnn_c100_car_10_n03100240_4840.JPEG
vgg,7,132,NaN,car,car,c100,7812_con_dnn_c100_car_10_n04285008_5641.JPEG
vgg,7,133,NaN,car,car,c100,7813_con_dnn_c100_car_10_n02814533_7232.JPEG
vgg,7,134,NaN,car,car,c100,7814_con_dnn_c100_car_10_n03100240_7300.JPEG
vgg,7,135,NaN,car,car,c100,7815_con_dnn_c100_car_10_n03100240_5356.JPEG
vgg,7,136,NaN,car,car,c100,7816_con_dnn_c100_car_10_n03100240_6892.JPEG
vgg,7,137,NaN,car,car,c100,7817_con_dnn_c100_car_10_n02814533_24244.JPEG
vgg,7,138,NaN,car,car,c100,7818_con_dnn_c100_car_10_n02814533_4446.JPEG
vgg,7,139,NaN,car,car,c100,7819_con_dnn_c100_car_10_n03100240_5136.JPEG
vgg,7,140,NaN,car,car,c100,7820_con_dnn_c100_car_10_n02814533_1871.JPEG
vgg,7,141,NaN,clock,bird,c100,7821_con_dnn_c100_bird_10_n02027492_8940.JPEG
vgg,7,142,NaN,bird,bird,c100,7822_con_dnn_c100_bird_10_n01514859_1678.JPEG
vgg,7,143,NaN,bird,bird,c100,7823_con_dnn_c100_bird_10_n01622779_6745.JPEG
vgg,7,144,NaN,bird,bird,c100,7824_con_dnn_c100_bird_10_n02009229_4493.JPEG
vgg,7,145,NaN,bird,bird,c100,7825_con_dnn_c100_bird_10_n01531178_17967.JPEG
vgg,7,146,NaN,bird,bird,c100,7826_con_dnn_c100_bird_10_n01558993_4438.JPEG
vgg,7,147,NaN,bird,bird,c100,7827_con_dnn_c100_bird_10_n01592084_4940.JPEG
