subj,session,trial,rt,object_response,category,condition,imagename
alexnet,5,1,NaN,knife,knife,c100,5121_cop_dnn_c100_knife_10_n03041632_31037.png
alexnet,5,2,NaN,knife,knife,c100,5122_cop_dnn_c100_knife_10_n03041632_26053.png
alexnet,5,3,NaN,keyboard,knife,c100,5123_cop_dnn_c100_knife_10_n03041632_18766.png
alexnet,5,4,NaN,knife,knife,c100,5124_cop_dnn_c100_knife_10_n03041632_26933.png
alexnet,5,5,NaN,knife,knife,c100,5125_cop_dnn_c100_knife_10_n03041632_101553.png
alexnet,5,6,NaN,knife,knife,c100,5126_cop_dnn_c100_knife_10_n03041632_9759.png
alexnet,5,7,NaN,bottle,knife,c100,5127_cop_dnn_c100_knife_10_n03041632_18601.png
alexnet,5,8,NaN,bottle,knife,c100,5128_cop_dnn_c100_knife_10_n03041632_47743.png
alexnet,5,9,NaN,knife,knife,c100,5129_cop_dnn_c100_knife_10_n03041632_27848.png
alexnet,5,10,NaN,clock,knife,c100,5130_cop_dnn_c100_knife_10_n03041632_21017.png
alexnet,5,11,NaN,keyboard,keyboard,c100,5131_cop_dnn_c100_keyboard_10_n04505470_989.png
alexnet,5,12,NaN,keyboard,keyboard,c100,5132_cop_dnn_c100_keyboard_10_n03085013_21183.png
alexnet,5,13,NaN,clock,keyboard,c100,5133_cop_dnn_c100_keyboard_10_n04505470_4742.png
alexnet,5,14,NaN,keyboard,keyboard,c100,5134_cop_dnn_c100_keyboard_10_n04505470_4356.png
alexnet,5,15,NaN,keyboard,keyboard,c100,5135_cop_dnn_c100_keyboard_10_n04505470_7015.png
alexnet,5,16,NaN,keyboard,keyboard,c100,5136_cop_dnn_c100_keyboard_10_n03085013_21444.png
alexnet,5,17,NaN,keyboard,keyboard,c100,5137_cop_dnn_c100_keyboard_10_n03085013_14427.png
alexnet,5,18,NaN,keyboard,keyboard,c100,5138_cop_dnn_c100_keyboard_10_n03085013_7010.png
alexnet,5,19,NaN,keyboard,keyboard,c100,5139_cop_dnn_c100_keyboard_10_n04505470_1342.png
alexnet,5,20,NaN,keyboard,keyboard,c100,5140_cop_dnn_c100_keyboard_10_n03085013_20180.png
alexnet,5,21,NaN,elephant,elephant,c100,5141_cop_dnn_c100_elephant_10_n02504013_4099.png
alexnet,5,22,NaN,elephant,elephant,c100,5142_cop_dnn_c100_elephant_10_n02504013_13512.png
alexnet,5,23,NaN,bear,elephant,c100,5143_cop_dnn_c100_elephant_10_n02504013_1585.png
