subj,session,trial,rt,object_response,category,condition,imagename
googlenet,5,1,NaN,knife,knife,c100,5121_cop_dnn_c100_knife_10_n03041632_31037.png
googlenet,5,2,NaN,knife,knife,c100,5122_cop_dnn_c100_knife_10_n03041632_26053.png
googlenet,5,3,NaN,knife,knife,c100,5123_cop_dnn_c100_knife_10_n03041632_18766.png
googlenet,5,4,NaN,bottle,knife,c100,5124_cop_dnn_c100_knife_10_n03041632_26933.png
googlenet,5,5,NaN,knife,knife,c100,5125_cop_dnn_c100_knife_10_n03041632_101553.png
googlenet,5,6,NaN,knife,knife,c100,5126_cop_dnn_c100_knife_10_n03041632_9759.png
googlenet,5,7,NaN,knife,knife,c100,5127_cop_dnn_c100_knife_10_n03041632_18601.png
googlenet,5,8,NaN,knife,knife,c100,5128_cop_dnn_c100_knife_10_n03041632_47743.png
googlenet,5,9,NaN,knife,knife,c100,5129_cop_dnn_c100_knife_10_n03041632_27848.png
googlenet,5,10,NaN,knife,knife,c100,5130_cop_dnn_c100_knife_10_n03041632_21017.png
googlenet,5,11,NaN,keyboard,keyboard,c100,5131_cop_dnn_c100_keyboard_10_n04505470_989.png
googlenet,5,12,NaN,keyboard,keyboard,c100,5132_cop_dnn_c100_keyboard_10_n03085013_21183.png
googlenet,5,13,NaN,keyboard,keyboard,c100,5133_cop_dnn_c100_keyboard_10_n04505470_4742.png
googlenet,5,14,NaN,keyboard,keyboard,c100,5134_cop_dnn_c100_keyboard_10_n04505470_4356.png
googlenet,5,15,NaN,keyboard,keyboard,c100,5135_cop_dnn_c100_keyboard_10_n04505470_7015.png
googlenet,5,16,NaN,keyboard,keyboard,c100,5136_cop_dnn_c100_keyboard_10_n03085013_21444.png
googlenet,5,17,NaN,keyboard,keyboard,c100,5137_cop_dnn_c100_keyboard_10_n03085013_14427.png
googlenet,5,18,NaN,keyboard,keyboard,c100,5138_cop_dnn_c100_keyboard_10_n03085013_7010.png
googlenet,5,19,NaN,keyboard,keyboard,c100,5139_cop_dnn_c100_keyboard_10_n04505470_1342.png
googlenet,5,20,NaN,keyboard,keyboard,c100,5140_cop_dnn_c100_keyboard_10_n03085013_20180.png
googlenet,5,21,NaN,elephant,elephant,c100,5141_cop_dnn_c100_elephant_10_n02504013_4099.png
googlenet,5,22,NaN,elephant,elephant,c100,5142_cop_dnn_c100_elephant_10_n02504013_13512.png
googlenet,5,23,NaN,elephant,elephant,c100,5143_cop_dnn_c100_elephant_10_n02504013_1585.png
googlenet,5,24,NaN,elephant,elephant,c100,5144_cop_dnn_c100_elephant_10_n02504013_2640.png
googlenet,5,25,NaN,elephant,elephant,c100,5145_cop_dnn_c100_elephant_10_n02504458_1471.png
googlenet,5,26,NaN,elephant,elephant,c100,5146_cop_dnn_c100_elephant_10_n02504458_6368.png
googlenet,5,27,NaN,elephant,elephant,c100,5147_cop_dnn_c100_elephant_10_n02504013_252.png
googlenet,5,28,NaN,elephant,elephant,c100,5148_cop_dnn_c100_elephant_10_n02504013_446.png
googlenet,5,29,NaN,elephant,elephant,c100,5149_cop_dnn_c100_elephant_10_n02504458_6694.png
googlenet,5,30,NaN,elephant,elephant,c100,5150_cop_dnn_c100_elephant_10_n02504013_10506.png
googlenet,5,31,NaN,bicycle,bicycle,c100,5151_cop_dnn_c100_bicycle_10_n03792782_16034.png
googlenet,5,32,NaN,bicycle,bicycle,c100,5152_cop_dnn_c100_bicycle_10_n03792782_8204.png
googlenet,5,33,NaN,bicycle,bicycle,c100,5153_cop_dnn_c100_bicycle_10_n03792782_1412.png
googlenet,5,34,NaN,bicycle,bicycle,c100,5154_cop_dnn_c100_bicycle_10_n03792782_4502.png
googlenet,5,35,NaN,bicycle,bicycle,c100,5155_cop_dnn_c100_bicycle_10_n02835271_10414.png
googlenet,5,36,NaN,bicycle,bicycle,c100,5156_cop_dnn_c100_bicycle_10_n03792782_22620.png
googlenet,5,37,NaN,bicycle,bicycle,c100,5157_cop_dnn_c100_bicycle_10_n03792782_18665.png
