subj,session,trial,rt,object_response,category,condition,imagename
alexnet,5,1,NaN,chair,knife,0.00,5121_nse_dnn_0.00_knife_10_n03041632_14546.JPEG
alexnet,5,2,NaN,knife,knife,0.00,5122_nse_dnn_0.00_knife_10_n03041632_51339.JPEG
alexnet,5,3,NaN,knife,knife,0.00,5123_nse_dnn_0.00_knife_10_n03041632_13225.JPEG
alexnet,5,4,NaN,keyboard,knife,0.00,5124_nse_dnn_0.00_knife_10_n03041632_31271.JPEG
alexnet,5,5,NaN,knife,knife,0.00,5125_nse_dnn_0.00_knife_10_n03041632_30196.JPEG
alexnet,5,6,NaN,bottle,knife,0.00,5126_nse_dnn_0.00_knife_10_n03041632_10999.JPEG
alexnet,5,7,NaN,bottle,knife,0.00,5127_nse_dnn_0.00_knife_10_n03041632_20595.JPEG
alexnet,5,8,NaN,bottle,knife,0.00,5128_nse_dnn_0.00_knife_10_n03041632_8321.JPEG
alexnet,5,9,NaN,knife,knife,0.00,5129_nse_dnn_0.00_knife_10_n03041632_36247.JPEG
alexnet,5,10,NaN,knife,knife,0.00,5130_nse_dnn_0.00_knife_10_n03041632_28443.JPEG
alexnet,5,11,NaN,keyboard,keyboard,0.00,5131_nse_dnn_0.00_keyboard_10_n03085013_22417.JPEG
alexnet,5,12,NaN,keyboard,keyboard,0.00,5132_nse_dnn_0.00_keyboard_10_n03085013_23571.JPEG
alexnet,5,13,NaN,boat,keyboard,0.00,5133_nse_dnn_0.00_keyboard_10_n03085013_22870.JPEG
alexnet,5,14,NaN,bottle,keyboard,0.00,5134_nse_dnn_0.00_keyboard_10_n04505470_4417.JPEG
alexnet,5,15,NaN,keyboard,keyboard,0.00,5135_nse_dnn_0.00_keyboard_10_n04505470_4732.JPEG
alexnet,5,16,NaN,clock,keyboard,0.00,5136_nse_dnn_0.00_keyboard_10_n03085013_18854.JPEG
alexnet,5,17,NaN,keyboard,keyboard,0.00,5137_nse_dnn_0.00_keyboard_10_n03085013_23705.JPEG
alexnet,5,18,NaN,keyboard,keyboard,0.00,5138_nse_dnn_0.00_keyboard_10_n04505470_10055.JPEG
alexnet,5,19,NaN,keyboard,keyboard,0.00,5139_nse_dnn_0.00_keyboard_10_n04505470_2038.JPEG
alexnet,5,20,NaN,keyboard,keyboard,0.00,5140_nse_dnn_0.00_keyboard_10_n03085013_22069.JPEG
alexnet,5,21,NaN,elephant,elephant,0.00,5141_nse_dnn_0.00_elephant_10_n02504013_5833.JPEG
alexnet,5,22,NaN,elephant,elephant,0.00,5142_nse_dnn_0.00_elephant_10_n02504013_3081.JPEG
alexnet,5,23,NaN,elephant,elephant,0.00,5143_nse_dnn_0.00_elephant_10_n02504013_8385.JPEG
alexnet,5,24,NaN,elephant,elephant,0.00,5144_nse_dnn_0.00_elephant_10_n02504458_736.JPEG
alexnet,5,25,NaN,bear,elephant,0.00,5145_nse_dnn_0.00_elephant_10_n02504013_4424.JPEG
alexnet,5,26,NaN,elephant,elephant,0.00,5146_nse_dnn_0.00_elephant_10_n02504458_847.JPEG
alexnet,5,27,NaN,elephant,elephant,0.00,5147_nse_dnn_0.00_elephant_10_n02504013_23912.JPEG
alexnet,5,28,NaN,elephant,elephant,0.00,5148_nse_dnn_0.00_elephant_10_n02504458_2471.JPEG
alexnet,5,29,NaN,elephant,elephant,0.00,5149_nse_dnn_0.00_elephant_10_n02504458_11345.JPEG
alexnet,5,30,NaN,elephant,elephant,0.00,5150_nse_dnn_0.00_elephant_10_n02504458_5869.JPEG
alexnet,5,31,NaN,bicycle,bicycle,0.00,5151_nse_dnn_0.00_bicycle_10_n02835271_9661.JPEG
alexnet,5,32,NaN,truck,bicycle,0.00,5152_nse_dnn_0.00_bicycle_10_n03792782_7477.JPEG
alexnet,5,33,NaN,bicycle,bicycle,0.00,5153_nse_dnn_0.00_bicycle_10_n03792782_34681.JPEG
alexnet,5,34,NaN,dog,bicycle,0.00,5154_nse_dnn_0.00_bicycle_10_n03792782_4207.JPEG
alexnet,5,35,NaN,bottle,bicycle,0.00,5155_nse_dnn_0.00_bicycle_10_n03792782_10179.JPEG
alexnet,5,36,NaN,bottle,bicycle,0.00,5156_nse_dnn_0.00_bicycle_10_n03792782_7578.JPEG
alexnet,5,37,NaN,truck,bicycle,0.00,5157_nse_dnn_0.00_bicycle_10_n02835271_1221.JPEG
alexnet,5,38,NaN,bottle,bicycle,0.00,5158_nse_dnn_0.00_bicycle_10_n03792782_10437.JPEG
alexnet,5,39,NaN,bicycle,bicycle,0.00,5159_nse_dnn_0.00_bicycle_10_n02835271_1486.JPEG
alexnet,5,40,NaN,chair,bicycle,0.00,5160_nse_dnn_0.00_bicycle_10_n02835271_1345.JPEG
alexnet,5,41,NaN,boat,airplane,0.00,5161_nse_dnn_0.00_airplane_10_n02690373_7036.JPEG
alexnet,5,42,NaN,airplane,airplane,0.00,5162_nse_dnn_0.00_airplane_10_n02690373_15097.JPEG
alexnet,5,43,NaN,airplane,airplane,0.00,5163_nse_dnn_0.00_airplane_10_n02690373_9165.JPEG
alexnet,5,44,NaN,airplane,airplane,0.00,5164_nse_dnn_0.00_airplane_10_n02690373_7499.JPEG
alexnet,5,45,NaN,airplane,airplane,0.00,5165_nse_dnn_0.00_airplane_10_n02690373_9605.JPEG
alexnet,5,46,NaN,airplane,airplane,0.00,5166_nse_dnn_0.00_airplane_10_n02690373_2217.JPEG
alexnet,5,47,NaN,airplane,airplane,0.00,5167_nse_dnn_0.00_airplane_10_n02690373_980.JPEG
alexnet,5,48,NaN,airplane,airplane,0.00,5168_nse_dnn_0.00_airplane_10_n02690373_3065.JPEG
alexnet,5,49,NaN,airplane,airplane,0.00,5169_nse_dnn_0.00_airplane_10_n02690373_9309.JPEG
alexnet,5,50,NaN,airplane,airplane,0.00,5170_nse_dnn_0.00_airplane_10_n02690373_5277.JPEG
alexnet,5,51,NaN,clock,clock,0.00,5171_nse_dnn_0.00_clock_10_n02708093_2283.JPEG
alexnet,5,52,NaN,clock,clock,0.00,5172_nse_dnn_0.00_clock_10_n04548280_2650.JPEG
alexnet,5,53,NaN,clock,clock,0.00,5173_nse_dnn_0.00_clock_10_n02708093_3496.JPEG
alexnet,5,54,NaN,cat,clock,0.00,5174_nse_dnn_0.00_clock_10_n04548280_5295.JPEG
alexnet,5,55,NaN,keyboard,clock,0.00,5175_nse_dnn_0.00_clock_10_n04548280_5120.JPEG
alexnet,5,56,NaN,clock,clock,0.00,5176_nse_dnn_0.00_clock_10_n04548280_8748.JPEG
alexnet,5,57,NaN,clock,clock,0.00,5177_nse_dnn_0.00_clock_10_n04548280_5327.JPEG
alexnet,5,58,NaN,clock,clock,0.00,5178_nse_dnn_0.00_clock_10_n04548280_119.JPEG
alexnet,5,59,NaN,clock,clock,0.00,5179_nse_dnn_0.00_clock_10_n04548280_1474.JPEG
alexnet,5,60,NaN,clock,clock,0.00,5180_nse_dnn_0.00_clock_10_n03196217_9065.JPEG
alexnet,5,61,NaN,bottle,oven,0.00,5181_nse_dnn_0.00_oven_10_n04111531_15296.JPEG
