subj,session,trial,rt,object_response,category,condition,imagename
googlenet,5,1,NaN,chair,knife,0.00,5121_nse_dnn_0.00_knife_10_n03041632_14546.JPEG
googlenet,5,2,NaN,knife,knife,0.00,5122_nse_dnn_0.00_knife_10_n03041632_51339.JPEG
googlenet,5,3,NaN,knife,knife,0.00,5123_nse_dnn_0.00_knife_10_n03041632_13225.JPEG
googlenet,5,4,NaN,knife,knife,0.00,5124_nse_dnn_0.00_knife_10_n03041632_31271.JPEG
googlenet,5,5,NaN,knife,knife,0.00,5125_nse_dnn_0.00_knife_10_n03041632_30196.JPEG
googlenet,5,6,NaN,knife,knife,0.00,5126_nse_dnn_0.00_knife_10_n03041632_10999.JPEG
googlenet,5,7,NaN,truck,knife,0.00,5127_nse_dnn_0.00_knife_10_n03041632_20595.JPEG
googlenet,5,8,NaN,bottle,knife,0.00,5128_nse_dnn_0.00_knife_10_n03041632_8321.JPEG
googlenet,5,9,NaN,cat,knife,0.00,5129_nse_dnn_0.00_knife_10_n03041632_36247.JPEG
googlenet,5,10,NaN,knife,knife,0.00,5130_nse_dnn_0.00_knife_10_n03041632_28443.JPEG
googlenet,5,11,NaN,keyboard,keyboard,0.00,5131_nse_dnn_0.00_keyboard_10_n03085013_22417.JPEG
googlenet,5,12,NaN,chair,keyboard,0.00,5132_nse_dnn_0.00_keyboard_10_n03085013_23571.JPEG
googlenet,5,13,NaN,chair,keyboard,0.00,5133_nse_dnn_0.00_keyboard_10_n03085013_22870.JPEG
googlenet,5,14,NaN,keyboard,keyboard,0.00,5134_nse_dnn_0.00_keyboard_10_n04505470_4417.JPEG
googlenet,5,15,NaN,keyboard,keyboard,0.00,5135_nse_dnn_0.00_keyboard_10_n04505470_4732.JPEG
googlenet,5,16,NaN,keyboard,keyboard,0.00,5136_nse_dnn_0.00_keyboard_10_n03085013_18854.JPEG
googlenet,5,17,NaN,keyboard,keyboard,0.00,5137_nse_dnn_0.00_keyboard_10_n03085013_23705.JPEG
googlenet,5,18,NaN,keyboard,keyboard,0.00,5138_nse_dnn_0.00_keyboard_10_n04505470_10055.JPEG
googlenet,5,19,NaN,keyboard,keyboard,0.00,5139_nse_dnn_0.00_keyboard_10_n04505470_2038.JPEG
googlenet,5,20,NaN,keyboard,keyboard,0.00,5140_nse_dnn_0.00_keyboard_10_n03085013_22069.JPEG
googlenet,5,21,NaN,elephant,elephant,0.00,5141_nse_dnn_0.00_elephant_10_n02504013_5833.JPEG
googlenet,5,22,NaN,elephant,elephant,0.00,5142_nse_dnn_0.00_elephant_10_n02504013_3081.JPEG
googlenet,5,23,NaN,dog,elephant,0.00,5143_nse_dnn_0.00_elephant_10_n02504013_8385.JPEG
googlenet,5,24,NaN,dog,elephant,0.00,5144_nse_dnn_0.00_elephant_10_n02504458_736.JPEG
googlenet,5,25,NaN,elephant,elephant,0.00,5145_nse_dnn_0.00_elephant_10_n02504013_4424.JPEG
googlenet,5,26,NaN,elephant,elephant,0.00,5146_nse_dnn_0.00_elephant_10_n02504458_847.JPEG
