subj,session,trial,rt,object_response,category,condition,imagename
vgg,2,1,NaN,knife,knife,0.00,1281_nse_dnn_0.00_knife_10_n03041632_1884.JPEG
vgg,2,2,NaN,knife,knife,0.00,1282_nse_dnn_0.00_knife_10_n03041632_21859.JPEG
vgg,2,3,NaN,knife,knife,0.00,1283_nse_dnn_0.00_knife_10_n03041632_44230.JPEG
vgg,2,4,NaN,knife,knife,0.00,1284_nse_dnn_0.00_knife_10_n03041632_29862.JPEG
vgg,2,5,NaN,knife,knife,0.00,1285_nse_dnn_0.00_knife_10_n03041632_95293.JPEG
vgg,2,6,NaN,chair,knife,0.00,1286_nse_dnn_0.00_knife_10_n03041632_29125.JPEG
vgg,2,7,NaN,knife,knife,0.00,1287_nse_dnn_0.00_knife_10_n03041632_45312.JPEG
vgg,2,8,NaN,truck,knife,0.00,1288_nse_dnn_0.00_knife_10_n03041632_24060.JPEG
vgg,2,9,NaN,knife,knife,0.00,1289_nse_dnn_0.00_knife_10_n03041632_5102.JPEG
vgg,2,10,NaN,truck,knife,0.00,1290_nse_dnn_0.00_knife_10_n03041632_29858.JPEG
vgg,2,11,NaN,keyboard,keyboard,0.00,1291_nse_dnn_0.00_keyboard_10_n04505470_8148.JPEG
vgg,2,12,NaN,keyboard,keyboard,0.00,1292_nse_dnn_0.00_keyboard_10_n03085013_24649.JPEG
vgg,2,13,NaN,chair,keyboard,0.00,1293_nse_dnn_0.00_keyboard_10_n03085013_23658.JPEG
vgg,2,14,NaN,keyboard,keyboard,0.00,1294_nse_dnn_0.00_keyboard_10_n03085013_24633.JPEG
vgg,2,15,NaN,keyboard,keyboard,0.00,1295_nse_dnn_0.00_keyboard_10_n04505470_4878.JPEG
vgg,2,16,NaN,keyboard,keyboard,0.00,1296_nse_dnn_0.00_keyboard_10_n03085013_6432.JPEG
vgg,2,17,NaN,keyboard,keyboard,0.00,1297_nse_dnn_0.00_keyboard_10_n03085013_5714.JPEG
vgg,2,18,NaN,keyboard,keyboard,0.00,1298_nse_dnn_0.00_keyboard_10_n03085013_23286.JPEG
vgg,2,19,NaN,cat,keyboard,0.00,1299_nse_dnn_0.00_keyboard_10_n04505470_2488.JPEG
vgg,2,20,NaN,keyboard,keyboard,0.00,1300_nse_dnn_0.00_keyboard_10_n03085013_11332.JPEG
vgg,2,21,NaN,elephant,elephant,0.00,1301_nse_dnn_0.00_elephant_10_n02504013_3634.JPEG
vgg,2,22,NaN,elephant,elephant,0.00,1302_nse_dnn_0.00_elephant_10_n02504013_16929.JPEG
vgg,2,23,NaN,elephant,elephant,0.00,1303_nse_dnn_0.00_elephant_10_n02504458_825.JPEG
vgg,2,24,NaN,boat,elephant,0.00,1304_nse_dnn_0.00_elephant_10_n02504458_6202.JPEG
vgg,2,25,NaN,elephant,elephant,0.00,1305_nse_dnn_0.00_elephant_10_n02504458_4165.JPEG
vgg,2,26,NaN,elephant,elephant,0.00,1306_nse_dnn_0.00_elephant_10_n02504013_3569.JPEG
vgg,2,27,NaN,elephant,elephant,0.00,1307_nse_dnn_0.00_elephant_10_n02504458_5384.JPEG
vgg,2,28,NaN,elephant,elephant,0.00,1308_nse_dnn_0.00_elephant_10_n02504458_5436.JPEG
vgg,2,29,NaN,elephant,elephant,0.00,1309_nse_dnn_0.00_elephant_10_n02504013_1576.JPEG
vgg,2,30,NaN,elephant,elephant,0.00,1310_nse_dnn_0.00_elephant_10_n02504458_6618.JPEG
vgg,2,31,NaN,bicycle,bicycle,0.00,1311_nse_dnn_0.00_bicycle_10_n03792782_1802.JPEG
vgg,2,32,NaN,bicycle,bicycle,0.00,1312_nse_dnn_0.00_bicycle_10_n02835271_1691.JPEG
vgg,2,33,NaN,bicycle,bicycle,0.00,1313_nse_dnn_0.00_bicycle_10_n02835271_695.JPEG
vgg,2,34,NaN,bicycle,bicycle,0.00,1314_nse_dnn_0.00_bicycle_10_n03792782_59381.JPEG
vgg,2,35,NaN,bicycle,bicycle,0.00,1315_nse_dnn_0.00_bicycle_10_n03792782_12844.JPEG
vgg,2,36,NaN,bicycle,bicycle,0.00,1316_nse_dnn_0.00_bicycle_10_n02835271_8327.JPEG
vgg,2,37,NaN,bicycle,bicycle,0.00,1317_nse_dnn_0.00_bicycle_10_n02835271_8881.JPEG
vgg,2,38,NaN,bicycle,bicycle,0.00,1318_nse_dnn_0.00_bicycle_10_n03792782_1155.JPEG
vgg,2,39,NaN,bicycle,bicycle,0.00,1319_nse_dnn_0.00_bicycle_10_n02835271_6362.JPEG
